id,verse_id,recording_id,start,end
15,40020016,JH,180.670,189.040
16,40020017,JH,189.040,200.610
17,40020018,JH,200.610,215.743
18,40020019,JH,215.743,230.000
19,40020020,JH,230.000,242.710
20,40020021,JH,242.710,260.860
21,40020022,JH,260.860,277.300
22,40020023,JH,277.300,295.920
23,40020024,JH,295.920,303.168
24,40020025,JH,303.168,320.540
25,40020026,JH,320.540,332.840
26,40020027,JH,332.840,340.770
27,40020028,JH,340.770,357.360
28,40020029,JH,357.360,365.980
29,40020030,JH,365.980,381.700
30,40020031,JH,381.700,395.920
31,40020032,JH,395.920,405.370
32,40020033,JH,405.370,412.060
33,40020034,JH,412.060,424.055
0,40021001,JH,4.437,17.570
1,40021002,JH,17.570,33.882
2,40021003,JH,33.882,45.210
3,40021004,JH,45.210,53.180
4,40021005,JH,53.180,67.847
5,40021006,JH,67.847,75.620
6,40021007,JH,75.620,86.740
7,40021008,JH,86.740,101.510
8,40021009,JH,101.510,122.540
9,40021010,JH,122.540,133.270
10,40021011,JH,133.270,143.830
11,40021012,JH,143.830,164.160
12,40021013,JH,164.160,178.799
13,40021014,JH,178.799,188.190
14,40021015,JH,188.190,206.240
15,40021016,JH,206.240,225.030
16,40021017,JH,225.030,234.890
17,40021018,JH,234.890,240.460
18,40021019,JH,240.460,261.890
19,40021020,JH,261.890,271.470
20,40021021,JH,271.470,296.340
21,40021022,JH,296.340,304.880
22,40021023,JH,304.880,324.860
23,40021024,JH,324.860,340.340
24,40021025,JH,340.340,360.090
25,40021026,JH,360.090,371.350
26,40021027,JH,371.350,385.680
27,40021028,JH,385.680,401.320
28,40021029,JH,401.320,409.690
29,40021030,JH,409.690,422.070
30,40021031,JH,422.070,444.850
31,40021032,JH,444.850,467.650
32,40021033,JH,467.650,492.030
33,40021034,JH,492.030,503.380
34,40021035,JH,503.380,515.470
35,40021036,JH,515.470,525.370
36,40021037,JH,525.370,535.310
37,40021038,JH,535.310,552.320
38,40021039,JH,552.320,560.230
39,40021040,JH,560.230,570.100
40,40021041,JH,570.100,586.650
41,40021042,JH,586.650,612.570
42,40021043,JH,612.570,625.910
43,40021044,JH,625.910,638.330
44,40021045,JH,638.330,648.810
45,40021046,JH,648.810,658.452
0,40022001,JH,4.215,11.090
1,40022002,JH,11.090,21.870
2,40022003,JH,21.870,31.372
3,40022004,JH,31.372,49.410
4,40022005,JH,49.410,58.840
5,40022006,JH,58.840,66.780
6,40022007,JH,66.780,80.710
7,40022008,JH,80.710,91.590
8,40022009,JH,91.590,101.521
9,40022010,JH,101.521,116.520
10,40022011,JH,116.520,127.680
11,40022012,JH,127.680,138.370
12,40022013,JH,138.370,156.570
13,40022014,JH,156.570,163.800
14,40022015,JH,163.800,173.760
15,40022016,JH,173.760,198.060
16,40022017,JH,198.060,207.290
17,40022018,JH,207.290,216.190
18,40022019,JH,216.190,224.260
19,40022020,JH,224.260,231.580
20,40022021,JH,231.580,244.520
21,40022022,JH,244.520,250.750
22,40022023,JH,250.750,261.158
23,40022024,JH,261.158,279.570
24,40022025,JH,279.570,294.390
25,40022026,JH,294.390,300.300
26,40022027,JH,300.300,304.150
27,40022028,JH,304.150,312.810
28,40022029,JH,312.810,324.240
29,40022030,JH,324.240,335.240
30,40022031,JH,335.240,344.702
31,40022032,JH,344.702,359.550
32,40022033,JH,359.550,366.510
33,40022034,JH,366.510,375.389
34,40022035,JH,375.389,381.020
35,40022036,JH,381.020,386.172
36,40022037,JH,386.172,399.740
37,40022038,JH,399.740,404.310
38,40022039,JH,404.310,412.520
39,40022040,JH,412.520,421.650
40,40022041,JH,421.650,427.930
41,40022042,JH,427.930,439.800
42,40022043,JH,439.800,448.130
43,40022044,JH,448.130,460.050
44,40022045,JH,460.050,467.650
45,40022046,JH,467.650,480.326
0,40023001,JH,4.000,9.600
1,40023002,JH,9.600,19.120
2,40023003,JH,19.120,35.120
3,40023004,JH,35.125,51.848
4,40023005,JH,51.848,67.380
5,40023006,JH,67.380,77.570
6,40023007,JH,77.570,85.680
7,40023008,JH,85.680,99.290
8,40023009,JH,99.290,110.520
9,40023010,JH,110.520,120.750
10,40023011,JH,120.750,125.720
11,40023012,JH,125.720,136.960
12,40023013,JH,136.960,157.423
13,40023014,JH,157.423,157.876
14,40023015,JH,157.876,178.470
15,40023016,JH,178.470,194.100
16,40023017,JH,194.100,206.120
17,40023018,JH,206.120,219.750
18,40023019,JH,219.750,231.180
19,40023020,JH,231.180,240.510
20,40023021,JH,240.510,248.860
21,40023022,JH,248.860,260.940
22,40023023,JH,260.940,286.660
23,40023024,JH,286.660,296.100
24,40023025,JH,296.100,314.200
25,40023026,JH,314.200,328.900
26,40023027,JH,328.900,351.760
27,40023028,JH,351.760,366.250
28,40023029,JH,366.250,380.040
29,40023030,JH,380.040,393.690
30,40023031,JH,393.690,402.700
31,40023032,JH,402.700,408.930
32,40023033,JH,408.930,418.180
33,40023034,JH,418.180,442.170
34,40023035,JH,442.170,465.580
35,40023036,JH,465.580,474.150
36,40023037,JH,474.150,500.860
37,40023038,JH,500.860,506.580
38,40023039,JH,506.580,520.321
0,40024001,JH,4.241,16.930
1,40024002,JH,16.930,33.510
2,40024003,JH,33.510,53.730
3,40024004,JH,53.730,61.290
4,40024005,JH,61.290,72.870
5,40024006,JH,72.870,86.520
6,40024007,JH,86.520,98.340
7,40024008,JH,98.340,103.250
8,40024009,JH,103.250,118.410
9,40024010,JH,118.410,128.070
10,40024011,JH,128.070,135.320
11,40024012,JH,135.320,144.160
12,40024013,JH,144.160,149.920
13,40024014,JH,149.920,165.380
14,40024015,JH,165.380,180.790
15,40024016,JH,180.790,186.100
16,40024017,JH,186.100,193.080
17,40024018,JH,193.080,200.610
18,40024019,JH,200.610,209.390
19,40024020,JH,209.390,218.490
20,40024021,JH,218.490,230.540
21,40024022,JH,230.540,245.540
22,40024023,JH,245.540,255.130
23,40024024,JH,255.130,270.270
24,40024025,JH,270.270,273.500
25,40024026,JH,273.500,286.710
26,40024027,JH,286.710,299.790
27,40024028,JH,299.790,306.570
28,40024029,JH,306.570,330.320
29,40024030,JH,330.320,355.870
30,40024031,JH,355.870,375.430
31,40024032,JH,375.430,393.670
32,40024033,JH,393.670,404.430
33,40024034,JH,404.430,414.830
34,40024035,JH,414.830,424.560
35,40024036,JH,424.560,440.090
36,40024037,JH,440.090,448.400
37,40024038,JH,448.400,465.210
