id,verse_id,recording_id,start,end
31,40014032,TK,276.270,280.880
32,40014033,TK,280.880,288.300
33,40014034,TK,288.300,291.730
34,40014035,TK,291.730,301.420
35,40014036,TK,301.420,310.580
0,40015001,TK,0.600,6.420
1,40015002,TK,6.420,15.770
2,40015003,TK,15.770,23.400
3,40015004,TK,23.400,34.740
4,40015005,TK,34.740,46.540
5,40015006,TK,46.540,50.700
6,40015007,TK,50.700,55.660
7,40015008,TK,55.660,64.920
8,40015009,TK,64.920,70.420
9,40015010,TK,70.420,77.070
10,40015011,TK,77.070,86.010
11,40015012,TK,86.010,94.810
12,40015013,TK,94.810,104.530
13,40015014,TK,104.530,113.280
14,40015015,TK,113.280,119.430
15,40015016,TK,119.430,124.780
16,40015017,TK,124.780,132.480
17,40015018,TK,132.480,139.060
18,40015019,TK,139.060,150.890
19,40015020,TK,150.890,158.140
20,40015021,TK,158.140,163.290
21,40015022,TK,163.290,177.570
22,40015023,TK,177.570,188.490
23,40015024,TK,188.490,196.740
24,40015025,TK,196.740,203.020
25,40015026,TK,203.020,210.790
26,40015027,TK,210.790,220.490
27,40015028,TK,220.490,233.760
28,40015029,TK,233.760,242.240
29,40015030,TK,242.240,257.280
30,40015031,TK,257.280,269.600
31,40015032,TK,269.600,287.060
32,40015033,TK,287.060,295.310
33,40015034,TK,295.310,305.040
34,40015035,TK,305.040,308.460
35,40015036,TK,308.460,318.070
36,40015037,TK,318.070,325.710
37,40015038,TK,325.710,331.420
38,40015039,TK,331.420,337.430
0,40016001,TK,0.600,8.440
1,40016002,TK,8.440,16.730
2,40016003,TK,16.730,29.680
3,40016004,TK,29.680,42.120
4,40016005,TK,42.120,48.360
5,40016006,TK,48.360,56.010
6,40016007,TK,56.010,62.680
7,40016008,TK,62.680,70.820
8,40016009,TK,70.820,78.570
9,40016010,TK,78.570,84.330
10,40016011,TK,84.330,91.270
11,40016012,TK,91.270,99.860
12,40016013,TK,99.860,112.290
13,40016014,TK,112.290,122.490
14,40016015,TK,122.490,126.930
15,40016016,TK,126.930,134.880
16,40016017,TK,134.880,147.780
17,40016018,TK,147.780,159.630
18,40016019,TK,159.630,174.380
19,40016020,TK,174.380,182.060
20,40016021,TK,182.060,197.770
21,40016022,TK,197.770,207.060
22,40016023,TK,207.060,217.630
23,40016024,TK,217.630,229.700
24,40016025,TK,229.700,239.420
25,40016026,TK,239.420,249.940
26,40016027,TK,249.940,259.420
27,40016028,TK,259.420,271.450
0,40017001,TK,0.367,11.450
1,40017002,TK,11.450,21.460
2,40017003,TK,21.460,27.660
3,40017004,TK,27.660,41.890
4,40017005,TK,41.890,56.300
5,40017006,TK,56.300,62.265
6,40017007,TK,62.265,68.900
7,40017008,TK,68.900,74.980
8,40017009,TK,74.980,86.080
9,40017010,TK,86.080,94.329
10,40017011,TK,94.329,102.380
11,40017012,TK,102.380,115.040
12,40017013,TK,115.040,120.620
13,40017014,TK,120.620,126.220
14,40017015,TK,126.220,138.260
15,40017016,TK,138.260,144.104
16,40017017,TK,144.104,157.130
17,40017018,TK,157.130,165.439
18,40017019,TK,165.439,173.000
19,40017020,TK,173.000,190.650
20,40017021,TK,190.650,195.714
21,40017022,TK,195.714,204.980
22,40017023,TK,204.980,212.093
23,40017024,TK,212.093,222.710
24,40017025,TK,222.710,241.000
25,40017026,TK,241.000,249.740
26,40017027,TK,249.740,266.330
0,40018001,TK,0.527,8.580
1,40018002,TK,8.580,12.190
2,40018003,TK,12.190,22.053
